emisor,emisor_key,fecha,E_market,sigma_E,DP,dp_metodo,dp_proxy,num_acciones,close,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio,activo_total,ingreso_neto,eps,V_A,sigma_A,DD,PD
Bancolombia,BANCOLOMBIA,2020-12-31,15596747175.852818,0.7063624688566374,2666149290.0,std+0.5*ltd,False,813311.8199233717,19176.83573973179,2469252233.0,393794114.0,227453292697.0,28115211256.0,255568503953.0,212274385.0,-261.0,18132227739.849686,0.6077110785939693,2.932971539319204,0.001678673334484171
Bancolombia,BANCOLOMBIA,2021-03-31,9654721897.925856,0.435891151965845,171089299392.75,proxy_0.75_total,True,580111.2348877374,16642.8803948164,,,228119065857.0,29206101687.0,257325167544.0,335884405.0,579.0,172386270792.10342,0.024645552608488767,2.322868539187514,0.010093107845596567
Bancolombia,BANCOLOMBIA,2021-06-30,21214887686.027145,0.36111156346388906,176166747096.0,proxy_0.75_total,True,1395263.5935960591,15204.931730031967,,,234888996128.0,30595010806.0,265484006934.0,1699431057.0,1218.0,188786381303.95117,0.04064395366580476,2.912098081784516,0.0017950494314430772
Bancolombia,BANCOLOMBIA,2021-09-30,10161518424.35456,0.3439830662187183,178411404138.75,proxy_0.75_total,True,544951.0904522613,18646.661328673363,,,237881872185.0,31869348680.0,269751220865.0,542226335.0,995.0,179870340255.1647,0.019459298623112756,2.9782566028919604,0.0014494658670664879
Bancolombia,BANCOLOMBIA,2021-12-31,48735615052.68279,0.31679126542399716,3390399108.5,std+0.5*ltd,False,2693997.8991430453,18090.44285750389,3220151497.0,340495223.0,255929590555.0,33925457750.0,289855048305.0,4086794813.0,1517.0,51960662445.48898,0.29712895173253395,9.206092076696823,1.691071644973878e-20
Cementos Argos,CEMARGOS,2017-03-31,8730765015.529566,0.1681447020147484,7511925240.5,std+0.5*ltd,False,1138600.175,7667.9814453125,4962332143.0,5099186195.0,10061518338.0,8431981046.0,18493499384.0,-45544007.0,-40.0,15876329338.942768,0.0924667062868304,8.587549782121924,4.442181546226028e-18
Cementos Argos,CEMARGOS,2017-06-30,13813821767.471584,0.15763596702126087,7281527873.5,std+0.5*ltd,False,1778902.975609756,7765.35986328125,4234942409.0,6093170929.0,10328113338.0,8872876626.0,19200989964.0,72935022.0,41.0,20740225336.0669,0.10499187531911694,10.393401435756497,1.32852421576712e-25
Cementos Argos,CEMARGOS,2017-09-30,51370985162.93909,0.1516250783468129,7061579915.5,std+0.5*ltd,False,6663902.762711864,7708.84375,4111258007.0,5900643817.0,10011901824.0,8784540899.0,18796442723.0,393170263.0,59.0,58088167762.025955,0.13409150176665754,16.021171259022942,4.546068787762383e-58
Cementos Argos,CEMARGOS,2017-12-31,40876744796.05434,0.1467986418838501,6839489865.5,std+0.5*ltd,False,5374599.842857143,7605.5419921875,3675405352.0,6328169027.0,10003574379.0,8779341431.0,18782915810.0,376221989.0,-70.0,47382668804.69237,0.12664230977422827,15.61503610629625,2.87562767598595e-55
Cementos Argos,CEMARGOS,2018-03-31,7214359971.093485,0.18685280713250255,7048563049.5,std+0.5*ltd,False,1142414.5208333333,6315.0107421875,4369057951.0,5359010197.0,9728068148.0,7956002319.0,17684070467.0,54835897.0,48.0,13919160544.226366,0.09684660278039224,7.493839959302056,3.344363780770955e-14
Cementos Argos,CEMARGOS,2018-06-30,309062702.86637014,0.19440012248279778,7177213450.0,std+0.5*ltd,False,47605.02173913043,6492.22900390625,4249104116.0,5856218668.0,10105322784.0,8299869191.0,18405191975.0,2189831.0,46.0,7136239321.668389,0.008419256816152005,5.25453518327742,7.419938825903343e-08
Cementos Argos,CEMARGOS,2018-09-30,10243219793.606873,0.22385976093032023,7048178584.0,std+0.5*ltd,False,1982126.578125,5167.79296875,4251316072.0,5593725024.0,9845041096.0,8404070756.0,18249111852.0,126856101.0,64.0,16947654651.842724,0.13530159666720332,6.786372006333881,5.749421196073968e-12
Cementos Argos,CEMARGOS,2018-12-31,1247085.859375,0.2237320316330516,6482955716.0,std+0.5*ltd,False,265.0,4705.984375,3091570564.0,6782770304.0,9874340868.0,8995678177.0,18870019045.0,11925.0,45.0,6168025320.429543,4.523557040464843e-05,4.470043692564896,3.910180987011763e-06
Cementos Argos,CEMARGOS,2019-03-31,6366693288.175218,0.21095348868806912,7591925214.5,std+0.5*ltd,False,1185347.7692307692,5371.16064453125,4103372461.0,6977105507.0,11080477968.0,8557602566.0,19638080534.0,15409521.0,13.0,13588355940.80481,0.09884022515130139,6.346033090068553,1.1046886637876375e-10
Cementos Argos,CEMARGOS,2019-06-30,6022452992.914975,0.20319066214924095,7339161329.0,std+0.5*ltd,False,1159825.7540983607,5192.5498046875,3706892871.0,7264536916.0,10971429787.0,8616731773.0,19588161560.0,70749371.0,61.0,13003679200.21504,0.09410461397647817,6.562695406687882,2.6421860971278072e-11
Cementos Argos,CEMARGOS,2019-09-30,30151462104.93607,0.1903368140701401,7515541018.5,std+0.5*ltd,False,5853505.133333334,5151.009765625,3619886815.0,7791308407.0,11411195222.0,9172375281.0,20583570503.0,87802577.0,15.0,37300465862.77534,0.15385687829538244,10.660536288225366,7.784851676625776e-27
Cementos Argos,CEMARGOS,2019-12-31,12675240951.572266,0.22729279361741692,6697248411.0,std+0.5*ltd,False,2487527.6666666665,5095.517578125,3052593200.0,7289310422.0,10341903622.0,8852446591.0,19194350213.0,74625830.0,30.0,19045860703.30607,0.15126598742565725,7.164282955454868,3.9097373554711885e-13
Cementos Argos,CEMARGOS,2020-03-31,11090016131.62445,0.5656322184751623,8133705106.0,std+0.5*ltd,False,3852380.25,2878.743896484375,4064485277.0,8138439658.0,12202924935.0,9737242540.0,21940167475.0,15409521.0,4.0,18822246203.26996,0.3340504023605499,2.4943184773180644,0.006309962841965711
Cementos Argos,CEMARGOS,2020-06-30,3720132692.7433033,0.6166160167156947,7928625908.0,std+0.5*ltd,False,1554532.5714285714,2393.087646484375,4175876130.0,7505499556.0,11681375686.0,9073258033.0,20754633719.0,21763456.0,14.0,11241658087.009085,0.20860246373220284,1.809130662128778,0.035215353261541585
Cementos Argos,CEMARGOS,2020-09-30,6069189188.240974,0.6461071015812906,7333177620.5,std+0.5*ltd,False,1823500.064516129,3328.318603515625,3343185154.0,7979984933.0,11323170087.0,9531306179.0,20854476266.0,113057004.0,62.0,13022995342.164415,0.30538789611517725,1.891616728195269,0.029271032716576665
Cementos Argos,CEMARGOS,2020-12-31,1846783409.8568618,0.6556137544906602,6263862536.0,std+0.5*ltd,False,408185.79411764705,4524.36962890625,2665158754.0,7197407564.0,9862566318.0,8711956840.0,18574523158.0,27756634.0,68.0,7782033126.360775,0.16245349610560758,1.5624474379907158,0.05909130957810676
Cementos Argos,CEMARGOS,2021-03-31,52897243224.93695,0.3977130469299726,6609260623.5,std+0.5*ltd,False,13829829.25,3824.865966796875,2896511698.0,7425497851.0,10322009549.0,9129037980.0,19451047529.0,55319317.0,4.0,59184166404.0593,0.3554654066509425,6.130004180285852,4.3938381981074417e-10
