emisor,fecha,pasivo_total,pasivo_corriente,pasivo_no_corriente,patrimonio,activo_total,ingreso_neto,eps,activo_corriente,caja,ingresos,ebit,costos_financieros,depreciacion,ebitda,deuda_ebitda,ebit_intereses,pasivo_patrimonio,pasivo_activo,margen_ebitda,margen_neto,roa,razon_corriente,caja_activos,PD,PD_pct,margen_ebitda_pct,margen_neto_pct,caja_activos_pct
Ecopetrol,2019-09-30,69632438888.0,18863212721.0,50769226167.0,61363623323.0,130996062211.0,9242730516.0,68.0,25738823503.0,9061249406.0,17875948205.0,5652595031.0,2510002934.0,6290130883.0,11942725914.0,5.830531437246882,2.25202726037929,1.1347510971031713,0.5315613134678855,0.6680890869139772,0.5170484054890446,0.07055731569329471,1.364498396094825,0.06917192206438026,1.2540951994061353e-07,1.2540951994061353e-05,66.80890869139772,51.704840548904464,6.917192206438026
Ecopetrol,2019-12-31,75103895562.0,21742298513.0,53361597049.0,60344122106.0,135448017668.0,14502499439.0,322.0,23364461392.0,7075757563.0,71445702183.0,20415131970.0,3511814053.0,8557150862.0,28972282832.0,2.5922670987819934,5.81327247453782,1.2445933910526215,0.5544850109662662,0.4055147048284417,0.2029863098252363,0.10707059201521454,1.074608619600641,0.05223965388953543,2.618948277052281e-06,0.0002618948277052281,40.551470482844174,20.29863098252363,5.223965388953543
Ecopetrol,2020-03-31,90154208623.0,28911356435.0,61242852188.0,56379927744.0,146534136367.0,480147810.0,67.0,23682549302.0,8797175517.0,15942619700.0,4956746309.0,1014206866.0,2227359987.0,7184106296.0,12.549119529759253,4.8873129093961385,1.5990479631750554,0.6152437299470312,0.450622697598438,0.030117246665552714,0.0032766959420121233,0.8191434862367778,0.060034990720299865,0.0804474028633076,8.044740286330759,45.0622697598438,3.0117246665552715,6.003499072029986
Ecopetrol,2020-06-30,91513082610.0,26618636579.0,64894446031.0,55636719664.0,147149802274.0,781863917.0,84.0,27933578813.0,9247947365.0,35046535481.0,5957601787.0,2090444308.0,4519097887.0,10476699674.0,8.734915140987367,2.849921312995821,1.6448324624935422,0.6219042173063762,0.29893681444432074,0.02230930693345928,0.005313387479407766,1.0493993082665016,0.06284716134228899,0.10932403133069879,10.93240313306988,29.893681444432076,2.230930693345928,6.284716134228899
Ecopetrol,2020-09-30,89107494504.0,21324712125.0,67782782379.0,57173101202.0,146280595706.0,1926220067.0,225.0,26755122885.0,7828654661.0,53855801226.0,16625961353.0,3084352460.0,6818000243.0,23443961596.0,3.8008718850317296,5.390421998982568,1.5585562551377374,0.609154577706885,0.43530986564697033,0.03576625030452759,0.013167980740736019,1.2546534146941033,0.05351806658440407,0.11377693545475104,11.377693545475104,43.53098656469703,3.576625030452759,5.351806658440407
Ecopetrol,2020-12-31,83597849338.0,18282443130.0,65315406208.0,55819270853.0,139417120191.0,1688076671.0,41.0,22834373812.0,5082307808.0,50325850843.0,7012218818.0,3929791008.0,9305996559.0,16318215377.0,5.122977446162923,1.7843744880389323,1.4976521201460131,0.5996239860891677,0.3242511572811244,0.03354293355647857,0.01210810170721754,1.2489782492215524,0.03645397208777008,0.056890625732331564,5.689062573233157,32.425115728112445,3.3542933556478567,3.6453972087770077
Ecopetrol,2021-03-31,88780659793.0,19963176308.0,68817483485.0,58151920036.0,146932579829.0,3085925044.0,3.0,27075972686.0,6687543298.0,17229810149.0,5513326638.0,834625446.0,2302095496.0,7815422134.0,11.35967555824925,6.605749518449262,1.526702123301152,0.6042271897514006,0.45359885375484527,0.1791038332583777,0.02100231989114597,1.356295825286562,0.045514366560384066,1.9074286042520942e-11,1.907428604252094e-09,45.359885375484524,17.91038332583777,4.5514366560384065
Ecopetrol,2021-06-30,88659139787.0,19329668621.0,69329471166.0,62595113595.0,151254253382.0,7396959672.0,166.0,29269676882.0,5021543506.0,23513642269.0,2325998475.0,1727901841.0,4697644885.0,7023643360.0,12.622955814060582,1.3461403997659147,1.4163907483360163,0.5861596471147625,0.2987050359807445,0.3145816197838491,0.04890414323304097,1.514235833831163,0.03319935402621602,8.320609000187652e-05,0.008320609000187652,29.87050359807445,31.458161978384908,3.3199354026216024
Ecopetrol,2021-09-30,147445815030.0,27880970015.0,119564845015.0,93787891899.0,241233706929.0,11719488472.0,93.0,47016250344.0,10086786643.0,59982965094.0,7102309193.0,993908153.0,7384179393.0,14486488586.0,10.178161129571057,7.145840560380231,1.5721199404799941,0.6112156419061135,0.24151004478184857,0.19538027927819596,0.04858147155799121,1.6863204658483975,0.04181333848991819,5.759107523939652e-06,0.0005759107523939652,24.151004478184856,19.538027927819595,4.181333848991819
Ecopetrol,2021-12-31,150498022893.0,30248731250.0,120249291643.0,93752071300.0,244250094193.0,-3148664.0,41.0,51695746861.0,14549905602.0,91744079720.0,29560582984.0,3929791008.0,10159920761.0,39720503745.0,3.7889253333536743,7.5221768597420535,1.6052767774209165,0.6161636227418623,0.4329489583003689,-3.432007830488487e-05,-1.289114753631173e-05,1.7090219895090641,0.059569703135930206,0.001989275523722073,0.1989275523722073,43.294895830036886,-0.003432007830488487,5.956970313593021
