fecha,close,emisor
2016-01-04,472.05035633661026,ECOPETROL
2016-01-05,468.0454000634025,ECOPETROL
2016-01-06,458.749441409111,ECOPETROL
2016-01-07,440.6350126028061,ECOPETROL
2016-01-08,428.18647571206094,ECOPETROL
2016-01-11,411.0234312340268,ECOPETROL
2016-01-12,406.5071480056329,ECOPETROL
2016-01-13,407.2172098783194,ECOPETROL
2016-01-14,416.68725986957725,ECOPETROL
2016-01-15,406.44979985576356,ECOPETROL
2016-01-19,389.0597644090652,ECOPETROL
2016-01-20,381.9658186764718,ECOPETROL
2016-01-21,414.52390572748845,ECOPETROL
2016-01-22,438.1256850719452,ECOPETROL
2016-01-25,392.51418151137767,ECOPETROL
2016-01-26,419.58500631636707,ECOPETROL
2016-01-27,419.71138028620044,ECOPETROL
2016-01-28,438.0339869260788,ECOPETROL
2016-01-29,454.08145271135726,ECOPETROL
2016-02-01,425.53166246414185,ECOPETROL
2016-02-02,413.70526946239113,ECOPETROL
2016-02-03,441.5267372683011,ECOPETROL
2016-02-04,456.87271950244906,ECOPETROL
2016-02-05,454.7524636387825,ECOPETROL
2016-02-08,457.2073461651802,ECOPETROL
2016-02-09,429.14243009311906,ECOPETROL
2016-02-10,442.0052089691162,ECOPETROL
2016-02-11,433.0116431440576,ECOPETROL
2016-02-12,460.69184492826463,ECOPETROL
2016-02-16,441.4435024023056,ECOPETROL
2016-02-17,503.4648828810605,ECOPETROL
2016-02-18,5.04094992779028,ECOPETROL
2016-02-19,482.94407583075224,ECOPETROL
2016-02-22,507.04569302444577,ECOPETROL
2016-02-23,496.6489359855652,ECOPETROL
2016-02-24,482.96553350687026,ECOPETROL
2016-02-25,499.13683490792755,ECOPETROL
2016-02-26,495.95349857211113,ECOPETROL
2016-02-29,497.6956950520398,ECOPETROL
2016-03-01,511.4677639917674,ECOPETROL
2016-03-02,543.3185046315193,ECOPETROL
2016-03-03,562.0303181775555,ECOPETROL
2016-03-04,592.405736565555,ECOPETROL
2016-03-07,619.6356555350998,ECOPETROL
2016-03-08,551.8120754361153,ECOPETROL
2016-03-09,573.0344143512921,ECOPETROL
2016-03-10,564.2103278636932,ECOPETROL
2016-03-11,587.1060201740765,ECOPETROL
2016-03-14,565.6889139194798,ECOPETROL
2016-03-15,557.7526740431786,ECOPETROL
2016-03-16,567.0936950147152,ECOPETROL
2016-03-17,600.1311202347279,ECOPETROL
2016-03-18,573.4428169248451,ECOPETROL
2016-03-21,591.1825561523438,ECOPETROL
2016-03-22,570.9298914909363,ECOPETROL
2016-03-23,558.024030983448,ECOPETROL
2016-03-24,543.3565795898437,ECOPETROL
2016-03-28,557.098235321045,ECOPETROL
2016-03-29,548.1537602186203,ECOPETROL
